Cal Year,Cal Quarter,Cal Month,Cal Month #,Province,Market,Media Type,Media Sub Type,Ad Spend
2022,Q2,May,05,Nova Scotia,Sydney - Glace Bay,Linear Television,Specialty TV,4442
2018,Q4,November,11,Manitoba,Winnipeg - Brandon,Linear Television,Spot TV,712805
2023,Q2,June,06,Ontario,Barrie - Orillia,Linear Television,Conventional TV,18545
2019,Q4,October,10,Saskatchewan,Swift Current,Out of Home,Billboards,1170
2021,Q4,December,12,Ontario,London - Woodstock - Wingham,Linear Television,Conventional TV,104293
2018,Q3,September,09,Ontario,Pembroke - Petawawa,Linear Television,Conventional TV,0
2021,Q4,December,12,Alberta,Edmonton,Radio,Spot Radio,1203810
2021,Q3,July,07,Multi-Market,Multi-Market,Linear Television,Conventional TV,2185634
2019,Q3,July,07,Ontario,Kenora,Linear Television,Specialty TV,2275
2022,Q1,February,02,Multi-Market,Multi-Market,Out of Home,Cinema,706526
2018,Q1,February,02,National,National,Digital,Ad Tech / Fees,2453965
2021,Q2,April,04,National,National,Digital,Ad Network/Ad Exchange,78488155
2022,Q3,August,08,Nova Scotia,Sydney - Glace Bay,Linear Television,Specialty TV,4704
2019,Q3,August,08,Multi-Market,Ottawa - Gatineau,Digital,Print - Digital,941
2021,Q2,April,04,Quebec,Montreal - Laval,Linear Television,Conventional TV,3905713
2023,Q2,June,06,Alberta,Calgary - Lethbridge,Radio,Spot Radio,907517
2019,Q2,April,04,British Columbia,Dawson Creek,Linear Television,Specialty TV,24402
2019,Q3,August,08,Saskatchewan,Regina - Moose Jaw,Newspapers,Dailies,22089
2019,Q1,March,03,Ontario,Thunder Bay,Newspapers,Dailies,6565
2020,Q4,December,12,Multi-Market,Multi-Market,Radio,Spot Radio,133040
2020,Q1,January,01,New Brunswick,St. John - Fredericton - Moncton,Radio,Spot Radio,174851
2023,Q3,July,07,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Spot TV,98714
2023,Q3,September,09,Northwest Territories,Yellowknife,Radio,Spot Radio,9324
2019,Q4,December,12,Alberta,Edmonton,Out of Home,Billboards,88836
2023,Q3,August,08,National,National,Digital,Pure Play - Content,16874132
2018,Q1,February,02,Newfoundland and Labrador,St. Johns - Corner Brook,Newspapers,Community Newspaper,80232
2018,Q1,March,03,Ontario,Thunder Bay,Newspapers,Dailies,7331
2020,Q4,December,12,Multi-Market,Ottawa - Gatineau,Out of Home,Other,2969
2023,Q2,April,04,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Radio,Spot Radio,402824
2018,Q3,September,09,Quebec,Quebec City - Levis,Digital,Print - Digital,347
2020,Q3,September,09,Alberta,Edmonton,Newspapers,Dailies,33977
2018,Q2,June,06,Ontario,London - Woodstock - Wingham,Newspapers,Dailies,220794
2023,Q1,January,01,Quebec,Quebec City - Levis,Radio,Spot Radio,208860
2023,Q1,February,02,Alberta,Edmonton,Linear Television,Spot TV,825868
2022,Q1,February,02,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Newspapers,Community Newspaper,25647
2020,Q1,February,02,Quebec,Sherbrooke,Linear Television,Spot TV,14413
2020,Q4,December,12,Quebec,Riviere Du Loup,Linear Television,Conventional TV,40489
2018,Q2,April,04,British Columbia,Kelowna - Okanagan Valley - Kamloops,Linear Television,Specialty TV,259946
2023,Q2,May,05,British Columbia,Vancouver - Victoria,Magazines,Trade Magazines,10872
2023,Q2,April,04,Nova Scotia,Halifax - Dartmouth,Linear Television,Specialty TV,124783
2021,Q1,February,02,Saskatchewan,Regina - Moose Jaw,Out of Home,Other,800
2021,Q4,October,10,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Conventional TV,31595
2018,Q2,June,06,Alberta,Red Deer,Linear Television,Conventional TV,0
2021,Q1,February,02,Multi-Market,Multi-Market,Out of Home,Transit,23173
2020,Q1,March,03,Yukon,Whitehorse,Newspapers,Community Newspaper,399
2023,Q1,January,01,Ontario,Pembroke - Petawawa,Newspapers,Community Newspaper,6060
2023,Q2,April,04,Quebec,Montreal - Laval,Radio,Spot Radio,1861382
2022,Q2,May,05,Quebec,Chaleur Bay - Carleton,Linear Television,Specialty TV,3927
2018,Q4,December,12,National,National,Linear Television,Specialty TV,60565746
2019,Q1,March,03,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Conventional TV,211859
2020,Q4,December,12,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Radio,Spot Radio,485121
2018,Q1,March,03,Ontario,Sudbury - Timmins - North Bay,Linear Television,Spot TV,70447
2020,Q1,January,01,Multi-Market,Ottawa - Gatineau,Newspapers,Community Newspaper,48501
2019,Q2,April,04,National,National,Linear Television,Spot TV,62288
2021,Q3,August,08,Manitoba,Winnipeg - Brandon,Radio,Spot Radio,602867
