Cal Year,Cal Quarter,Cal Month,Cal Month #,Province,Market,Media Type,Media Sub Type,Ad Spend
2021,Q3,July,07,Ontario,Toronto - Hamilton - Niagara Falls,Digital,Print - Digital,107480
2018,Q1,January,01,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Radio,Spot Radio,247265
2023,Q3,September,09,Ontario,Kingston,Linear Television,Spot TV,12432
2019,Q1,March,03,Ontario,Pembroke - Petawawa,Linear Television,Specialty TV,61
2018,Q1,January,01,Ontario,Toronto - Hamilton - Niagara Falls,Magazines,Consumer Magazines,178548
2022,Q3,August,08,Ontario,Sudbury - Timmins - North Bay,Linear Television,Specialty TV,4742
2021,Q1,March,03,British Columbia,Terrace - Kitimat - Prince Rupert,Newspapers,Community Newspaper,26213
2021,Q2,May,05,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Conventional TV,41762
2022,Q1,March,03,Saskatchewan,Saskatoon,Radio,Spot Radio,114279
2019,Q2,June,06,Multi-Market,Multi-Market,Out of Home,Cinema,4552588
2021,Q2,June,06,Saskatchewan,Regina - Moose Jaw,Out of Home,Other,800
2021,Q4,November,11,Saskatchewan,Yorkton,Linear Television,Specialty TV,6488
2022,Q2,June,06,National,National,Digital,TV Network - Digital,1909999
2023,Q1,March,03,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Linear Television,Spot TV,43757
2023,Q1,February,02,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Conventional TV,324357
2022,Q1,February,02,Ontario,Pembroke - Petawawa,Newspapers,Community Newspaper,12893
2019,Q2,June,06,Saskatchewan,Saskatoon,Newspapers,Community Newspaper,1373
2021,Q2,June,06,British Columbia,Vancouver - Victoria,Out of Home,Other,5647
2018,Q4,November,11,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Specialty TV,4674
2023,Q3,July,07,Ontario,Barrie - Orillia,Radio,Spot Radio,413717
2021,Q4,December,12,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Conventional TV,14065
2019,Q3,July,07,Multi-Market,Multi-Market,Magazines,Ad Sales House,2935
2020,Q2,April,04,National,National,Digital,Other,256889
2022,Q1,March,03,Ontario,Barrie - Orillia,Newspapers,Dailies,3048
2018,Q3,September,09,Multi-Market,Multi-Market,Out of Home,Other,676794
2023,Q3,July,07,Ontario,Kenora,Linear Television,Conventional TV,0
2019,Q1,March,03,National,National,Out of Home,Ad Sales House,200735
2022,Q3,July,07,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Linear Television,Specialty TV,1515
2022,Q1,March,03,Multi-Market,Ottawa - Gatineau,Newspapers,Business Journals,28799
2021,Q3,July,07,Quebec,Saguenay,Linear Television,Conventional TV,56154
2020,Q3,August,08,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Conventional TV,13331
2021,Q2,April,04,Manitoba,Winnipeg - Brandon,Digital,Pure Play - Content,0
2022,Q4,December,12,Alberta,Edmonton,Newspapers,Business Journals,567
2020,Q4,December,12,Ontario,Barrie - Orillia,Out of Home,Other,294
2023,Q2,April,04,Ontario,Pembroke - Petawawa,Linear Television,Specialty TV,53
2021,Q2,June,06,British Columbia,Prince George,Newspapers,Dailies,3906
2018,Q3,August,08,Ontario,Toronto - Hamilton - Niagara Falls,Radio,Other,107962
2023,Q3,August,08,British Columbia,Kelowna - Okanagan Valley - Kamloops,Newspapers,Dailies,3060
2022,Q3,August,08,Ontario,Peterborough - Belleville - Trenton,Newspapers,Community Newspaper,52698
2021,Q3,July,07,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Specialty TV,18064
2019,Q1,January,01,New Brunswick,St. John - Fredericton - Moncton,Linear Television,Conventional TV,314976
2018,Q2,May,05,Ontario,London - Woodstock - Wingham,Newspapers,Dailies,180364
2020,Q3,July,07,Alberta,Red Deer,Out of Home,Ad Sales House,2171
2019,Q2,April,04,Ontario,Peterborough - Belleville - Trenton,Newspapers,Dailies,8157
2022,Q4,December,12,Saskatchewan,Saskatoon,Linear Television,Conventional TV,71043
2021,Q2,May,05,New Brunswick,St. John - Fredericton - Moncton,Out of Home,Ad Sales House,5038
2019,Q2,May,05,British Columbia,Prince George,Newspapers,Community Newspaper,3303
2022,Q2,June,06,Ontario,Peterborough - Belleville - Trenton,Newspapers,Community Newspaper,21841
2019,Q3,July,07,Quebec,Quebec City - Levis,Digital,Print - Digital,2392
2018,Q3,August,08,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Linear Television,Specialty TV,27295
2018,Q1,February,02,Multi-Market,Ottawa - Gatineau,Radio,Spot Radio,1940774
2022,Q3,July,07,Alberta,Edmonton,Newspapers,Dailies,28426
2018,Q4,November,11,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Specialty TV,27190
2023,Q2,May,05,Ontario,Barrie - Orillia,Newspapers,Dailies,1541
2018,Q3,August,08,Alberta,Calgary - Lethbridge,Linear Television,Spot TV,2324787
2020,Q2,April,04,Multi-Market,Multi-Market,Out of Home,Billboards,4973443
2019,Q3,July,07,Alberta,Calgary - Lethbridge,Linear Television,Specialty TV,372015
2022,Q2,April,04,Quebec,Riviere Du Loup,Radio,Spot Radio,42300
2021,Q4,October,10,Ontario,Barrie - Orillia,Newspapers,Community Newspaper,29569
2023,Q2,May,05,British Columbia,Vancouver - Victoria,Radio,Spot Radio,1555128
2018,Q1,January,01,Quebec,Rouyn - Noranda - Val D'Or,Newspapers,Community Newspaper,16330
2021,Q1,February,02,Quebec,Montreal - Laval,Magazines,Consumer Magazines,12353
2018,Q3,September,09,Quebec,Quebec City - Levis,Out of Home,Cinema,1147
2023,Q3,September,09,Quebec,Montreal - Laval,Digital,Print - Digital,53871
2021,Q4,December,12,Ontario,Kenora,Linear Television,Conventional TV,4
2018,Q4,November,11,Quebec,Riviere Du Loup,Linear Television,Specialty TV,23898
2018,Q2,June,06,Ontario,Kingston,Linear Television,Specialty TV,98153
2018,Q1,January,01,British Columbia,Dawson Creek,Linear Television,Spot TV,19770
2022,Q3,July,07,British Columbia,Terrace - Kitimat - Prince Rupert,Newspapers,Community Newspaper,10919
2018,Q1,February,02,Yukon,Whitehorse,Newspapers,Community Newspaper,1409
2022,Q1,March,03,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Spot TV,5689
2019,Q3,August,08,Multi-Market,Multi-Market,Linear Television,Specialty TV,98039
2018,Q1,January,01,British Columbia,Vancouver - Victoria,Digital,Print - Digital,0
2022,Q4,October,10,Alberta,Lloydminster,Newspapers,Community Newspaper,2271
2019,Q4,December,12,British Columbia,Kelowna - Okanagan Valley - Kamloops,Linear Television,Specialty TV,71492
2020,Q4,December,12,British Columbia,Prince George,Magazines,Trade Magazines,1025
2018,Q4,October,10,Ontario,Barrie - Orillia,Linear Television,Conventional TV,286634
2020,Q1,March,03,Quebec,Saguenay,Linear Television,Conventional TV,100321
2019,Q1,March,03,Multi-Market,Ottawa - Gatineau,Out of Home,Other,838
2019,Q1,March,03,British Columbia,Vancouver - Victoria,Magazines,Trade Magazines,13483
2022,Q2,April,04,National,National,Magazines,Consumer Magazines,1460242
2018,Q1,March,03,British Columbia,Terrace - Kitimat - Prince Rupert,Digital,Pure Play - Internet Radio,1176
2021,Q2,April,04,Alberta,Calgary - Lethbridge,Radio,Spot Radio,828735
2020,Q3,July,07,British Columbia,Vancouver - Victoria,Newspapers,Business Journals,2487
2018,Q1,February,02,Ontario,Toronto - Hamilton - Niagara Falls,Radio,Ad Sales House,116
2019,Q1,January,01,Manitoba,Winnipeg - Brandon,Radio,Other,29399
2019,Q2,May,05,Ontario,Barrie - Orillia,Radio,Spot Radio,643052
2023,Q1,January,01,Nova Scotia,Halifax - Dartmouth,Radio,Spot Radio,166468
2019,Q1,January,01,British Columbia,Vancouver - Victoria,Radio,Spot Radio,2309601
2018,Q2,April,04,Alberta,Lloydminster,Linear Television,Spot TV,36480
2019,Q4,October,10,Quebec,Quebec City - Levis,Magazines,Consumer Magazines,110812
2020,Q3,July,07,Ontario,Toronto - Hamilton - Niagara Falls,Linear Television,Specialty TV,2408200
2019,Q4,October,10,Multi-Market,Multi-Market,Magazines,Trade Magazines,28256
2020,Q3,July,07,Ontario,Windsor,Newspapers,Community Newspaper,1232
2022,Q3,July,07,Alberta,Lloydminster,Linear Television,Specialty TV,1130
2022,Q1,January,01,Saskatchewan,Yorkton,Newspapers,Community Newspaper,504
2018,Q1,February,02,New Brunswick,St. John - Fredericton - Moncton,Out of Home,Ad Sales House,1694
2022,Q4,November,11,Ontario,Barrie - Orillia,Linear Television,Spot TV,16645
2020,Q1,January,01,Multi-Market,Multi-Market,Magazines,Consumer Magazines,30513
2019,Q3,September,09,Manitoba,Winnipeg - Brandon,Magazines,Trade Magazines,28350
2023,Q3,July,07,Prince Edward Island,Charlottetown,Linear Television,Conventional TV,2392
2021,Q1,February,02,Alberta,Calgary - Lethbridge,Out of Home,Billboards,52884
2023,Q2,June,06,Multi-Market,Ottawa - Gatineau,Linear Television,Specialty TV,237730
2018,Q2,May,05,Ontario,Barrie - Orillia,Out of Home,Billboards,6107
2019,Q1,February,02,Quebec,Riviere Du Loup,Linear Television,Conventional TV,63219
2022,Q1,January,01,Ontario,Thunder Bay,Radio,Spot Radio,72873
2023,Q3,July,07,Ontario,London - Woodstock - Wingham,Linear Television,Specialty TV,47009
2018,Q1,January,01,Saskatchewan,Swift Current,Linear Television,Specialty TV,0
2019,Q2,May,05,Saskatchewan,Yorkton,Linear Television,Specialty TV,8089
2020,Q1,March,03,Multi-Market,Ottawa - Gatineau,Linear Television,Spot TV,265053
2018,Q3,August,08,Ontario,Kingston,Newspapers,Community Newspaper,24525
2020,Q4,December,12,Multi-Market,Ottawa - Gatineau,Radio,Spot Radio,1060965
2023,Q2,May,05,Saskatchewan,Yorkton,Radio,Spot Radio,13689
2019,Q2,June,06,Ontario,Windsor,Linear Television,Conventional TV,48114
2018,Q1,March,03,Quebec,Riviere Du Loup,Linear Television,Specialty TV,26283
2021,Q2,June,06,Multi-Market,Ottawa - Gatineau,Newspapers,Business Journals,24036
2019,Q4,December,12,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Linear Television,Conventional TV,719404
2019,Q4,December,12,Yukon,Whitehorse,Radio,Spot Radio,19829
2022,Q3,September,09,Ontario,Peterborough - Belleville - Trenton,Newspapers,Dailies,2513
2018,Q2,June,06,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Transit,542272
2018,Q3,August,08,Quebec,Chaleur Bay - Carleton,Linear Television,Spot TV,3452
2022,Q2,June,06,Alberta,Calgary - Lethbridge,Linear Television,Specialty TV,380363
2020,Q2,April,04,Quebec,Montreal - Laval,Out of Home,Street Furniture/Retail,11307
2019,Q1,March,03,New Brunswick,St. John - Fredericton - Moncton,Linear Television,Specialty TV,105780
2021,Q3,August,08,Alberta,Medicine Hat,Linear Television,Spot TV,1829
2021,Q1,February,02,Ontario,Thunder Bay,Linear Television,Conventional TV,73105
2021,Q1,February,02,Alberta,Red Deer,Newspapers,Dailies,3529
2021,Q1,March,03,New Brunswick,St. John - Fredericton - Moncton,Newspapers,Dailies,45525
2018,Q1,March,03,British Columbia,Kelowna - Okanagan Valley - Kamloops,Linear Television,Spot TV,77650
2021,Q2,May,05,Newfoundland and Labrador,St. Johns - Corner Brook,Newspapers,Community Newspaper,2619
2019,Q1,February,02,National,National,Radio,Ad Sales House,105748
2023,Q1,January,01,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Linear Television,Specialty TV,753
2023,Q1,March,03,Saskatchewan,Yorkton,Radio,Spot Radio,20225
2019,Q3,September,09,Ontario,Barrie - Orillia,Linear Television,Spot TV,5546
2023,Q1,February,02,Ontario,Barrie - Orillia,Out of Home,Other,264
2021,Q1,March,03,British Columbia,Vancouver - Victoria,Linear Television,Specialty TV,548131
2019,Q3,July,07,Quebec,Quebec City - Levis,Newspapers,Community Newspaper,197507
2020,Q1,March,03,British Columbia,Terrace - Kitimat - Prince Rupert,Radio,Spot Radio,53282
2020,Q2,April,04,Ontario,Toronto - Hamilton - Niagara Falls,Magazines,Consumer Magazines,191684
2023,Q3,September,09,Ontario,Kenora,Linear Television,Conventional TV,129
2021,Q1,January,01,Quebec,Quebec City - Levis,Newspapers,Dailies,37126
2023,Q1,March,03,Multi-Market,Multi-Market,Out of Home,Other,469563
2022,Q3,July,07,New Brunswick,St. John - Fredericton - Moncton,Newspapers,Dailies,12125
2019,Q2,May,05,Quebec,Riviere Du Loup,Newspapers,Community Newspaper,7121
2019,Q1,February,02,Quebec,Quebec City - Levis,Linear Television,Specialty TV,128805
2020,Q1,March,03,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Conventional TV,94110
2018,Q2,June,06,Ontario,London - Woodstock - Wingham,Radio,Spot Radio,723167
2018,Q2,May,05,Ontario,Toronto - Hamilton - Niagara Falls,Newspapers,Community Newspaper,1945583
2021,Q3,September,09,Saskatchewan,Saskatoon,Out of Home,Billboards,14281
2019,Q2,April,04,Alberta,Calgary - Lethbridge,Linear Television,Conventional TV,1778836
2018,Q3,August,08,British Columbia,Prince George,Linear Television,Spot TV,19876
2021,Q4,November,11,National,National,Digital,Pure Play - Social,110716452
2019,Q2,May,05,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Radio,Spot Radio,689134
2021,Q4,October,10,British Columbia,Dawson Creek,Radio,Spot Radio,30183
2019,Q2,May,05,Quebec,Sherbrooke,Magazines,Consumer Magazines,2647
2020,Q4,October,10,Alberta,Calgary - Lethbridge,Linear Television,Specialty TV,138065
2021,Q1,March,03,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Billboards,1007940
2022,Q2,April,04,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Magazines,Consumer Magazines,747
2021,Q4,October,10,Ontario,Windsor,Linear Television,Conventional TV,464815
2023,Q1,January,01,Alberta,Edmonton,Magazines,Consumer Magazines,294
2021,Q3,September,09,Prince Edward Island,Charlottetown,Linear Television,Specialty TV,4123
2023,Q2,April,04,Quebec,Montreal - Laval,Magazines,Trade Magazines,16059
2021,Q1,January,01,Quebec,Saguenay,Newspapers,Community Newspaper,2839
2021,Q4,November,11,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Linear Television,Specialty TV,6581
2022,Q1,February,02,Multi-Market,Multi-Market,Radio,Spot Radio,158998
2018,Q2,May,05,British Columbia,Vancouver - Victoria,Linear Television,Spot TV,4485596
2020,Q1,January,01,Quebec,Montreal - Laval,Digital,Print - Digital,148384
2022,Q1,January,01,British Columbia,Dawson Creek,Linear Television,Spot TV,1233
2018,Q2,May,05,Quebec,Saguenay,Newspapers,Community Newspaper,32321
2018,Q1,March,03,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Conventional TV,106496
2018,Q1,January,01,British Columbia,Prince George,Newspapers,Community Newspaper,9366
2021,Q2,April,04,Yukon,Whitehorse,Newspapers,Dailies,3040
2018,Q2,May,05,New Brunswick,St. John - Fredericton - Moncton,Radio,Spot Radio,389034
2020,Q2,May,05,National,National,Digital,Pure Play - Search,40940272
2023,Q1,February,02,Multi-Market,Multi-Market,Radio,Other,503666
2020,Q4,December,12,National,National,Digital,Pure Play - Content,26207444
2018,Q2,May,05,Ontario,Toronto - Hamilton - Niagara Falls,Digital,Print - Digital,235105
2019,Q3,September,09,Saskatchewan,Regina - Moose Jaw,Linear Television,Spot TV,241666
2021,Q2,June,06,Quebec,Sherbrooke,Out of Home,Billboards,8205
2018,Q4,November,11,Yukon,Whitehorse,Newspapers,Community Newspaper,376
2020,Q1,March,03,Ontario,Kingston,Linear Television,Specialty TV,17588
2021,Q3,September,09,New Brunswick,St. John - Fredericton - Moncton,Out of Home,Billboards,150
2019,Q3,July,07,Nova Scotia,Sydney - Glace Bay,Linear Television,Conventional TV,78546
2021,Q4,November,11,Ontario,Thunder Bay,Out of Home,Billboards,106
2021,Q4,December,12,Ontario,London - Woodstock - Wingham,Linear Television,Spot TV,42360
2020,Q4,October,10,Ontario,Barrie - Orillia,Newspapers,Community Newspaper,30331
2019,Q1,February,02,National,National,Linear Television,Ad Sales House,659749
2020,Q3,September,09,Ontario,Barrie - Orillia,Linear Television,Specialty TV,32804
2019,Q1,January,01,Quebec,Montreal - Laval,Newspapers,Dailies,522652
2019,Q4,November,11,British Columbia,Kelowna - Okanagan Valley - Kamloops,Linear Television,Conventional TV,74137
2019,Q3,July,07,Ontario,Thunder Bay,Linear Television,Specialty TV,18164
2023,Q2,June,06,Alberta,Calgary - Lethbridge,Out of Home,Other,764
2020,Q2,May,05,Ontario,Peterborough - Belleville - Trenton,Linear Television,Conventional TV,32484
2020,Q4,December,12,Saskatchewan,Saskatoon,Out of Home,Billboards,16477
2018,Q1,January,01,Alberta,Lloydminster,Linear Television,Specialty TV,7464
2020,Q1,March,03,British Columbia,Vancouver - Victoria,Magazines,Consumer Magazines,240290
2018,Q3,July,07,National,National,Out of Home,Transit,3812
2020,Q1,March,03,Manitoba,Winnipeg - Brandon,Digital,Pure Play - Content,543
2022,Q2,May,05,Alberta,Edmonton,Out of Home,Other,26430
2020,Q4,October,10,Ontario,Kingston,Newspapers,Dailies,3327
2019,Q3,September,09,National,National,Magazines,Ad Sales House,54884
2022,Q2,May,05,National,National,Magazines,Ad Sales House,5659
2018,Q4,October,10,National,National,Out of Home,Billboards,4193686
2020,Q3,September,09,Alberta,Medicine Hat,Linear Television,Specialty TV,8548
2022,Q4,October,10,National,National,Newspapers,Dailies,902314
2018,Q3,July,07,Saskatchewan,Prince Albert,Linear Television,Spot TV,3256
2019,Q4,November,11,Ontario,Thunder Bay,Newspapers,Dailies,6565
2023,Q1,February,02,National,National,Linear Television,Conventional TV,57165193
2021,Q3,July,07,Quebec,Riviere Du Loup,Radio,Spot Radio,73987
2022,Q3,July,07,Saskatchewan,Yorkton,Linear Television,Conventional TV,3147
2022,Q4,October,10,Multi-Market,Multi-Market,Radio,Other,1425363
2018,Q1,March,03,Quebec,Montreal - Laval,Newspapers,Dailies,761518
2022,Q4,October,10,Alberta,Medicine Hat,Linear Television,Conventional TV,738
2022,Q2,April,04,Ontario,Kenora,Linear Television,Specialty TV,0
2022,Q1,March,03,National,National,Radio,Ad Sales House,27021
2022,Q3,September,09,Alberta,Calgary - Lethbridge,Linear Television,Spot TV,1790796
2019,Q1,January,01,Quebec,Trois -Rivieres - Shawinigan,Linear Television,Conventional TV,172070
2019,Q3,July,07,National,National,Newspapers,Other,15106
2020,Q2,April,04,Quebec,Trois -Rivieres - Shawinigan,Linear Television,Specialty TV,8815
2020,Q2,June,06,National,National,Digital,Ad Network/Ad Exchange,56755929
2018,Q1,February,02,British Columbia,Prince George,Out of Home,Billboards,2520
2022,Q4,October,10,National,National,Newspapers,Community Newspaper,79492
2021,Q3,July,07,British Columbia,Vancouver - Victoria,Magazines,Newspaper Magazines,3163
2018,Q4,November,11,Ontario,Toronto - Hamilton - Niagara Falls,Newspapers,Business Journals,6949
2020,Q4,October,10,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Specialty TV,3725
2018,Q3,August,08,Alberta,Calgary - Lethbridge,Newspapers,Dailies,80691
2023,Q1,February,02,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Billboards,1460902
2018,Q1,January,01,British Columbia,Terrace - Kitimat - Prince Rupert,Radio,Spot Radio,28647
2021,Q3,July,07,National,National,Magazines,Trade Magazines,250267
2021,Q3,July,07,National,National,Newspapers,Ad Sales House,107374
2019,Q1,March,03,National,National,Digital,Pure Play - Video,5879185
2021,Q2,June,06,Saskatchewan,Yorkton,Newspapers,Community Newspaper,504
2018,Q4,October,10,British Columbia,Kelowna - Okanagan Valley - Kamloops,Newspapers,Community Newspaper,36237
2019,Q1,February,02,National,National,Digital,TV Network - Digital,2355671
2023,Q1,February,02,Alberta,Calgary - Lethbridge,Newspapers,Dailies,26324
2018,Q2,April,04,Ontario,Sault Sainte Marie,Linear Television,Spot TV,4130
2021,Q3,September,09,Alberta,Edmonton,Newspapers,Dailies,13083
2020,Q2,June,06,New Brunswick,St. John - Fredericton - Moncton,Out of Home,Ad Sales House,1694
2019,Q1,January,01,Alberta,Edmonton,Linear Television,Specialty TV,490314
2019,Q2,May,05,Alberta,Edmonton,Radio,Other,38795
2019,Q4,December,12,Quebec,Montreal - Laval,Linear Television,Specialty TV,1911315
2022,Q3,September,09,Alberta,Edmonton,Magazines,Consumer Magazines,4688
2020,Q2,June,06,Ontario,Toronto - Hamilton - Niagara Falls,Radio,Other,16324
2023,Q2,April,04,British Columbia,Prince George,Linear Television,Specialty TV,5249
2022,Q3,August,08,New Brunswick,St. John - Fredericton - Moncton,Out of Home,Ad Sales House,1706
2020,Q2,May,05,Quebec,Montreal - Laval,Newspapers,Community Newspaper,55587
2023,Q3,September,09,British Columbia,Kelowna - Okanagan Valley - Kamloops,Newspapers,Community Newspaper,31351
2021,Q1,March,03,British Columbia,Vancouver - Victoria,Magazines,Newspaper Magazines,4192
2019,Q1,February,02,Ontario,Toronto - Hamilton - Niagara Falls,Linear Television,Specialty TV,11039873
2019,Q1,February,02,Alberta,Edmonton,Magazines,Consumer Magazines,6906
2019,Q4,November,11,Quebec,Chaleur Bay - Carleton,Linear Television,Specialty TV,24191
2019,Q1,March,03,British Columbia,Vancouver - Victoria,Magazines,Other,2565
2021,Q3,July,07,Ontario,Peterborough - Belleville - Trenton,Linear Television,Specialty TV,22664
2021,Q4,November,11,Saskatchewan,Regina - Moose Jaw,Out of Home,Billboards,21321
2018,Q4,December,12,Nova Scotia,Halifax - Dartmouth,Linear Television,Specialty TV,270792
2019,Q4,December,12,Multi-Market,Ottawa - Gatineau,Newspapers,Community Newspaper,65477
2018,Q2,May,05,Prince Edward Island,Charlottetown,Newspapers,Dailies,4122
2021,Q3,September,09,Quebec,Montreal - Laval,Out of Home,Billboards,250039
2018,Q3,July,07,British Columbia,Vancouver - Victoria,Newspapers,Community Newspaper,529901
2019,Q4,October,10,Nova Scotia,Halifax - Dartmouth,Linear Television,Conventional TV,569511
2018,Q1,March,03,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Street Furniture/Retail,110353
2019,Q1,February,02,Alberta,Edmonton,Magazines,Trade Magazines,82971
2021,Q2,April,04,Saskatchewan,Yorkton,Linear Television,Spot TV,2231
2020,Q2,June,06,Ontario,Toronto - Hamilton - Niagara Falls,Linear Television,Spot TV,1039501
2020,Q2,May,05,British Columbia,Kelowna - Okanagan Valley - Kamloops,Linear Television,Spot TV,13848
2022,Q1,February,02,Multi-Market,Ottawa - Gatineau,Newspapers,Business Journals,27720
2020,Q4,November,11,Ontario,Kenora,Out of Home,Other,588
2018,Q1,February,02,Quebec,Montreal - Laval,Newspapers,Other,11125
2022,Q4,December,12,National,National,Newspapers,Ad Sales House,18873
2020,Q1,March,03,Ontario,Peterborough - Belleville - Trenton,Linear Television,Conventional TV,79703
2018,Q4,October,10,Ontario,Barrie - Orillia,Linear Television,Spot TV,97190
2021,Q2,June,06,Alberta,Medicine Hat,Newspapers,Community Newspaper,43185
2020,Q2,May,05,Manitoba,Winnipeg - Brandon,Newspapers,Community Newspaper,6442
2023,Q2,May,05,British Columbia,Vancouver - Victoria,Linear Television,Conventional TV,833208
2020,Q1,January,01,Newfoundland and Labrador,St. Johns - Corner Brook,Out of Home,Billboards,801
2023,Q3,August,08,Multi-Market,Multi-Market,Out of Home,Street Furniture/Retail,128966
2020,Q2,April,04,Manitoba,Winnipeg - Brandon,Linear Television,Spot TV,267530
2021,Q1,February,02,Multi-Market,Multi-Market,Out of Home,Events,49165
2023,Q2,April,04,Quebec,Chaleur Bay - Carleton,Linear Television,Specialty TV,218
2020,Q4,October,10,National,National,Newspapers,Community Newspaper,42124
2018,Q3,September,09,Quebec,Sherbrooke,Linear Television,Spot TV,108827
2019,Q1,February,02,National,National,Digital,Pure Play - Video,5358969
2019,Q3,September,09,National,National,Digital,TV Network - Digital,3214944
2022,Q4,November,11,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Linear Television,Conventional TV,24138
2023,Q2,May,05,Manitoba,Winnipeg - Brandon,Radio,Other,3798
2019,Q4,December,12,Manitoba,Winnipeg - Brandon,Linear Television,Spot TV,526445
2018,Q2,June,06,Saskatchewan,Yorkton,Radio,Spot Radio,72183
2023,Q2,June,06,Ontario,Toronto - Hamilton - Niagara Falls,Newspapers,Dailies,51573
2018,Q1,January,01,Multi-Market,Multi-Market,Out of Home,Cinema,4135895
2019,Q3,July,07,Alberta,Edmonton,Newspapers,Dailies,42442
2020,Q3,July,07,Ontario,Kenora,Linear Television,Specialty TV,16
2022,Q2,June,06,Nova Scotia,Sydney - Glace Bay,Linear Television,Conventional TV,31305
2019,Q2,June,06,Quebec,Montreal - Laval,Linear Television,Conventional TV,4743147
2019,Q2,June,06,Ontario,London - Woodstock - Wingham,Radio,Spot Radio,705378
2018,Q3,September,09,National,National,Linear Television,Other,145764
2019,Q1,January,01,Nova Scotia,Halifax - Dartmouth,Linear Television,Specialty TV,123420
2020,Q4,November,11,Quebec,Saguenay,Newspapers,Ad Sales House,2399
2018,Q2,April,04,National,National,Digital,Pure Play - Video,6275373
2020,Q1,March,03,Alberta,Edmonton,Linear Television,Spot TV,1690559
2023,Q1,January,01,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Radio,Spot Radio,145438
2019,Q4,November,11,Quebec,Riviere Du Loup,Radio,Spot Radio,80288
2021,Q1,February,02,Quebec,Montreal - Laval,Newspapers,Community Newspaper,103799
2018,Q2,June,06,Ontario,Peterborough - Belleville - Trenton,Linear Television,Specialty TV,83473
2022,Q2,April,04,Alberta,Edmonton,Out of Home,Other,17877
2019,Q2,June,06,Multi-Market,Multi-Market,Linear Television,Spot TV,32688
2019,Q4,October,10,Quebec,Sherbrooke,Linear Television,Specialty TV,63694
2020,Q4,November,11,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Newspapers,Dailies,557
2022,Q1,March,03,National,National,Digital,Print - Digital,4126451
2021,Q2,May,05,British Columbia,Kelowna - Okanagan Valley - Kamloops,Newspapers,Community Newspaper,12232
2019,Q1,March,03,Ontario,Barrie - Orillia,Linear Television,Specialty TV,62734
2021,Q3,July,07,National,National,Linear Television,Spot TV,86839
2022,Q1,January,01,Quebec,Montreal - Laval,Newspapers,Community Newspaper,26245
2023,Q3,July,07,British Columbia,Prince George,Linear Television,Specialty TV,7978
2020,Q4,December,12,New Brunswick,St. John - Fredericton - Moncton,Linear Television,Spot TV,43641
2021,Q2,June,06,Ontario,Pembroke - Petawawa,Linear Television,Conventional TV,0
2018,Q1,January,01,Prince Edward Island,Charlottetown,Radio,Ad Sales House,1439
2022,Q4,November,11,National,National,Digital,TV Network - Digital,2731211
2018,Q2,May,05,Multi-Market,Multi-Market,Radio,Other,979448
2018,Q3,September,09,Multi-Market,Ottawa - Gatineau,Out of Home,Billboards,28532
2023,Q1,February,02,Saskatchewan,Swift Current,Radio,Spot Radio,5813
2019,Q1,January,01,Saskatchewan,Prince Albert,Radio,Spot Radio,35663
2021,Q4,October,10,Quebec,Riviere Du Loup,Linear Television,Specialty TV,263
2019,Q2,June,06,British Columbia,Kelowna - Okanagan Valley - Kamloops,Radio,Spot Radio,437457
2022,Q2,June,06,Ontario,Pembroke - Petawawa,Linear Television,Specialty TV,0
2018,Q4,November,11,Saskatchewan,Yorkton,Linear Television,Spot TV,2880
2022,Q3,September,09,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Spot TV,12633
2019,Q2,June,06,National,National,Digital,Other,331568
2020,Q3,September,09,Quebec,Chaleur Bay - Carleton,Linear Television,Conventional TV,17968
2023,Q1,March,03,Ontario,London - Woodstock - Wingham,Linear Television,Conventional TV,59814
